---------- Begin SLURM Prolog ----------
Job ID:        7313753
Username:      sportega
Accountname:   lc_an2
Name:          c
Partition:     main
Nodelist:      hpc3888
TasksPerNode:  16
CPUsPerTask:   Default[1]
TMPDIR:        /tmp/7313753.main
SCRATCHDIR:    /staging/scratch/7313753
Cluster:       uschpc
HSDA Account:  false
---------- 2020-05-12 05:34:40 ---------
LAMMPS (7 Aug 2019)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (../comm.cpp:93)
  using 1 OpenMP thread(s) per MPI task
using multi-threaded neighbor list subroutines
Reading restart file ...
  restart file = 7 Aug 2019, LAMMPS = 7 Aug 2019
  restoring atom style full from restart
  orthogonal box = (0 0 0) to (150 150 288.378)
  1 by 1 by 16 MPI processor grid
  restoring pair style lj/cut/tip4p/long from restart
  restoring bond style harmonic from restart
  restoring angle style harmonic from restart
  5084 atoms
  976 bonds
  488 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:   0          0          0         
  special bond factors coul: 0          0          0         
  2 = max # of 1-2 neighbors
  1 = max # of 1-3 neighbors
  1 = max # of 1-4 neighbors
  2 = max # of special neighbors
  special bonds CPU = 0.000956059 secs
  read_restart CPU = 0.057318 secs
1464 atoms in group 5Water_atoms
3620 atoms in group 6CNT_atoms
976 atoms in group 8Hydrogen
488 atoms in group 7Oxygen
Finding SHAKE clusters ...
  0 = # of size 2 clusters
  0 = # of size 3 clusters
  0 = # of size 4 clusters
  488 = # of frozen angles
  find clusters CPU = 0.000634909 secs
PPPM initialization ...
  extracting TIP4P info from pair style
  using 12-bit tables for long-range coulomb (../kspace.cpp:323)
  G vector (1/distance) = 0.243104
  grid = 64 64 108
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00402049
  estimated relative force accuracy = 1.21076e-05
  using double precision KISS FFT
  3d grid and FFT values/proc = 61893 28672
No /omp style for force computation currently active
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12.3154
  ghost atom cutoff = 12.3154
  binsize = 6.1577, bins = 25 25 47
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/tip4p/long, perpetual
      attributes: half, newton on, omp
      pair build: half/bin/newton/omp
      stencil: half/bin/3d/newton
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 3000000
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 17.19 | 17.65 | 17.93 Mbytes
PotEng KinEng TotEng c_ke_H2O c_ke_CNT c_pe_sumH2O c_pe_sumCNT Temp c_temwater c_temcnt Press Pxx Pzz E_coul E_long Step 
  -5871.3646    801.29422   -5070.0703    801.29422            0   -5380.8144   -490.55017    58.502199    275.71036            0     59.64491    81.925394    22.377484    34415.314   -41265.477  3000000 
  -5876.5332    776.06261   -5100.4706    776.06261            0   -5395.0071   -481.52612    56.660048    267.02864            0    58.378296    75.234773    24.277762    34449.801   -41263.667  3002000 
  -5884.5166    767.74404   -5116.7726    767.74404            0    -5398.893    -485.6236    56.052713    264.16637            0    58.603643    78.140841    24.716402    34433.036    -41263.89  3004000 
  -5875.0206    791.31282   -5083.7078    791.31282            0   -5389.1016   -485.91904    57.773461    272.27595            0    59.405373    76.188558    22.885182    34408.749   -41265.288  3006000 
   -5858.548      756.321    -5102.227      756.321            0   -5365.9829   -492.56509     55.21872    260.23592            0    59.158477    76.864676    22.578878    34444.128   -41263.003  3008000 
  -5901.1356     803.8908   -5097.2448     803.8908            0   -5413.1124    -488.0232    58.691774     276.6038            0    59.204434    77.839652    25.254273    34383.784   -41265.485  3010000 
  -5877.9423    799.62134    -5078.321    799.62134            0   -5392.0449   -485.89741    58.380063    275.13476            0    58.706146    76.361993    26.271553    34438.872   -41264.923  3012000 
  -5877.5871    791.66796   -5085.9191    791.66796            0   -5393.3899   -484.19719    57.799389    272.39815            0    60.109188    77.523672    25.151312    34393.548   -41263.919  3014000 
  -5894.9047     766.4177    -5128.487     766.4177            0   -5404.2126   -490.69209    55.955877    263.71001            0    57.611743    74.568554    20.026504    34431.257   -41265.058  3016000 
   -5884.983    771.48369   -5113.4993    771.48369            0   -5393.9568   -491.02626    56.325743    265.45312            0    59.546787    77.929277    23.348405    34382.998   -41264.759  3018000 
  -5877.7797    806.69137   -5071.0884    806.69137            0   -5387.0267   -490.75302    58.896243    277.56742            0     59.60807    74.725534    25.683155    34405.706   -41265.045  3020000 
  -5846.3066    788.67318   -5057.6334    788.67318            0    -5354.641   -491.66558    57.580742     271.3677            0    59.620906    78.022996    23.869065     34442.14   -41264.791  3022000 
   -5914.353    756.34398    -5158.009    756.34398            0   -5412.3525   -502.00043    55.220399    260.24383            0    59.332143    76.383513    23.052918    34344.585   -41265.209  3024000 
  -5874.3094    748.46022   -5125.8491    748.46022            0   -5385.8302   -488.47913    54.644808    257.53117            0      58.8287    77.939847    20.747988    34432.462   -41267.283  3026000 
  -5874.9564     769.4123   -5105.5441     769.4123            0    -5381.746   -493.21045    56.174512    264.74039            0    59.070949    78.088804    25.505379     34422.72   -41264.389  3028000 
  -5861.8069    765.63728   -5096.1696    765.63728            0   -5367.3697   -494.43717    55.898899    263.44148            0     58.53986    75.501758    24.424603    34463.355   -41266.044  3030000 
